p,l,d,W
0E+00,5E-01,1.6E+01,1.28021E+00
0E+00,5E-01,1.8E+01,1.29205E+00
0E+00,5E-01,2E+01,1.302E+00
0E+00,5E-01,2.5E+01,1.32194E+00
0E+00,5E-01,3E+01,1.33804E+00
0E+00,5E-01,3.5E+01,1.35174E+00
0E+00,5E-01,4E+01,1.36356E+00
0E+00,5E-01,4.5E+01,1.37392E+00
0E+00,5E-01,5E+01,1.383E+00
0E+00,5E-01,6E+01,1.39804E+00
0E+00,5E-01,7E+01,1.41008E+00
0E+00,5E-01,8E+01,1.41994E+00
0E+00,5E-01,9E+01,1.42813E+00
0E+00,5E-01,1E+02,1.435E+00
0E+00,5E-01,1.2E+02,1.44517E+00
0E+00,5E-01,1.4E+02,1.45148E+00
0E+00,5E-01,1.6E+02,1.45582E+00
0E+00,5E-01,1.8E+02,1.45918E+00
0E+00,5E-01,2E+02,1.462E+00
0E+00,5E-01,3E+02,1.47231E+00
0E+00,5E-01,4E+02,1.47922E+00
0E+00,5E-01,5E+02,1.484E+00
0E+00,5E-01,1E+03,1.494E+00
0E+00,6E-01,0E+00,7.70827E-01
0E+00,6E-01,1E-05,7.70828E-01
0E+00,6E-01,1E-04,7.70837E-01
0E+00,6E-01,1E-03,7.70935E-01
0E+00,6E-01,1E-02,7.71911E-01
0E+00,6E-01,1E-01,7.81619E-01
0E+00,6E-01,2E-01,7.9225E-01
0E+00,6E-01,3E-01,8.02665E-01
0E+00,6E-01,4E-01,8.12777E-01
0E+00,6E-01,5E-01,8.22528E-01
0E+00,6E-01,6E-01,8.31915E-01
0E+00,6E-01,7E-01,8.41051E-01
0E+00,6E-01,8E-01,8.50043E-01
0E+00,6E-01,9E-01,8.58974E-01
0E+00,6E-01,1E+00,8.67907E-01
0E+00,6E-01,2E+00,9.43604E-01
0E+00,6E-01,3E+00,9.99871E-01
0E+00,6E-01,4E+00,1.04364E+00
0E+00,6E-01,5E+00,1.07822E+00
0E+00,6E-01,6E+00,1.10627E+00
0E+00,6E-01,7E+00,1.12983E+00
0E+00,6E-01,8E+00,1.15007E+00
0E+00,6E-01,9E+00,1.16781E+00
0E+00,6E-01,1E+01,1.18371E+00
0E+00,6E-01,1.2E+01,1.21074E+00
0E+00,6E-01,1.4E+01,1.23123E+00
0E+00,6E-01,1.6E+01,1.24708E+00
0E+00,6E-01,1.8E+01,1.25993E+00
0E+00,6E-01,2E+01,1.27084E+00
0E+00,6E-01,2.5E+01,1.29268E+00
0E+00,6E-01,3E+01,1.31048E+00
0E+00,6E-01,3.5E+01,1.32569E+00
0E+00,6E-01,4E+01,1.33886E+00
0E+00,6E-01,4.5E+01,1.35041E+00
0E+00,6E-01,5E+01,1.36055E+00
0E+00,6E-01,6E+01,1.37734E+00
0E+00,6E-01,7E+01,1.39081E+00
0E+00,6E-01,8E+01,1.40188E+00
0E+00,6E-01,9E+01,1.41117E+00
0E+00,6E-01,1E+02,1.41875E+00
0E+00,6E-01,1.2E+02,1.43073E+00
0E+00,6E-01,1.4E+02,1.43843E+00
0E+00,6E-01,1.6E+02,1.44377E+00
0E+00,6E-01,1.8E+02,1.44791E+00
0E+00,6E-01,2E+02,1.45135E+00
0E+00,6E-01,3E+02,1.46354E+00
0E+00,6E-01,4E+02,1.47144E+00
0E+00,6E-01,5E+02,1.47676E+00
0E+00,6E-01,1E+03,1.48699E+00
0E+00,7E-01,0E+00,7.4311E-01
0E+00,7E-01,1E-05,7.43111E-01
0E+00,7E-01,1E-04,7.4312E-01
0E+00,7E-01,1E-03,7.43213E-01
0E+00,7E-01,1E-02,7.44141E-01
0E+00,7E-01,1E-01,7.5338E-01
0E+00,7E-01,2E-01,7.63514E-01
0E+00,7E-01,3E-01,7.73463E-01
0E+00,7E-01,4E-01,7.83148E-01
0E+00,7E-01,5E-01,7.92519E-01
0E+00,7E-01,6E-01,8.0157E-01
0E+00,7E-01,7E-01,8.10394E-01
0E+00,7E-01,8E-01,8.19074E-01
0E+00,7E-01,9E-01,8.27679E-01
0E+00,7E-01,1E+00,8.36259E-01
0E+00,7E-01,2E+00,9.08939E-01
0E+00,7E-01,3E+00,9.63892E-01
0E+00,7E-01,4E+00,1.00737E+00
0E+00,7E-01,5E+00,1.04218E+00
0E+00,7E-01,6E+00,1.07064E+00
0E+00,7E-01,7E+00,1.09465E+00
0E+00,7E-01,8E+00,1.11537E+00
0E+00,7E-01,9E+00,1.13362E+00
0E+00,7E-01,1E+01,1.15005E+00
0E+00,7E-01,1.2E+01,1.1782E+00
0E+00,7E-01,1.4E+01,1.19978E+00
0E+00,7E-01,1.6E+01,1.21666E+00
0E+00,7E-01,1.8E+01,1.2305E+00
0E+00,7E-01,2E+01,1.24234E+00
0E+00,7E-01,2.5E+01,1.26605E+00
0E+00,7E-01,3E+01,1.28546E+00
0E+00,7E-01,3.5E+01,1.30206E+00
0E+00,7E-01,4E+01,1.31644E+00
0E+00,7E-01,4.5E+01,1.32902E+00
0E+00,7E-01,5E+01,1.34002E+00
